raw_hex,display_code,english,thai,malaysia
1601,16-01,"Code ""16-01"" : No. 2 O2 sensor circuit malfunction","รหัส ""16-01"" : ตัวตรวจจับปริมาณออกซิเจนตัวที่ 2 บกพร่อง","Code ""16-01"" : Litar O2 sensor no. 2 bermasalah"
1701,17-01,"Code ""17-01"" : No. 3 O2 sensor circuit malfunction","รหัส ""17-01"" : ตัวตรวจจับปริมาณออกซิเจนตัวที่ 3 บกพร่อง","Code ""17-01"" : Litar O2 sensor no. 3 bermasalah"
1801,18-01,"Code ""18-01"" : No. 4 O2 sensor circuit malfunction","รหัส ""18-01"" : ตัวตรวจจับปริมาณออกซิเจนตัวที่ 4 บกพร่อง","Code ""18-01"" : Litar O2 sensor no. 4 bermasalah"
1D01,1D-01,"Code ""1D-01"" : IACV sensor malfunction","รหัส ""1D-01"" : ชุดวาล์วควบคุมอากาศรอบเดินเบาบกพร่อง","Code ""1D-01"" : Sensor IACV bermasalah"
2101,21-01,"Code ""21-01"" : EEPROM malfunction","รหัส ""21-01"" : หน่วยความจำ EEPROM บกพร่อง","Code ""21-01"" : EEPROM bermasalah"
2E01,2E-01,"Code ""2E-01"" : No. 1 Secondary injector malfunction","รหัส ""2E-01"" : หัวฉีดสำรอง 1 บกพร่อง","Code ""2E-01"" : Injector Sekunder No. 1 bermasalah"
2F01,2F-01,"Code ""2F-01"" : No. 2 Secondary injector malfunction","รหัส ""2F-01"" : หัวฉีดสำรอง 2 บกพร่อง","Code ""2F-01"" : Injector Sekunder No. 2 bermasalah"
3001,30-01,"Code ""30-01"" : No. 3 Secondary injector malfunction","รหัส ""30-01"" : หัวฉีดสำรอง 3 บกพร่อง","Code ""30-01"" : Injector Sekunder No. 3 bermasalah"
3101,31-01,"Code ""31-01"" : No. 4 Secondary injector malfunction","รหัส ""31-01"" : หัวฉีดสำรอง 4 บกพร่อง","Code ""31-01"" : Injector Sekunder No. 4 bermasalah"
3401,34-01,"Code ""34-01"" : Crank sensor malfunction","รหัส ""34-01"" : ตัวตรวจจับข้อเหวี่ยงบกพร่อง","Code ""34-01"" : Sensor crank bermasalah"
3601,36-01,"Code ""36-01"" : Bank Angle Sensor (BAS) voltage low","รหัส ""36-01"" : แรงดันตัวตรวจจับการเอียงของรถต่ำ","Code ""36-01"" : Bank Angle Sensor (BAS) voltage rendah"
3602,36-02,"Code ""36-02"" : Bank Angle Sensor (BAS) voltage high","รหัส ""36-02"" : แรรงดันตัวตรวจจับการเอียงของรถสูง","Code ""36-02"" : Bank Angle Sensor (BAS) voltage tinggi"
5601,56-01,"Code ""56-01"" : Serial communication problem","รหัส ""56-01"" : การสื่อสารบกพร่อง","Code ""56-01"" : Masalah komunikasi siri"
